Date,Open,High,Low,Close,Volume
1998-01-02,350.7386,352.6399,349.6238,351.0496,96111599.0
1998-01-05,351.5378,356.5517,349.803,355.106,61278509.0
1998-01-06,355.5698,357.9296,355.2843,356.9229,71315133.0
1998-01-07,358.1844,361.3142,357.4158,360.945,42788164.0
1998-01-08,362.5934,369.716,361.4671,367.5541,86774120.0
1998-01-09,367.8868,368.6017,365.1665,368.3821,61978010.0
1998-01-12,370.0136,373.0593,369.8676,373.0593,77195650.0
1998-01-13,373.488,378.3682,372.7528,376.4046,73286190.0
1998-01-14,375.2627,376.0262,372.9685,373.1677,77577857.0
1998-01-15,373.2692,379.1405,372.513,377.7844,40026562.0
1998-01-16,377.9696,381.4339,377.7592,379.3655,54229729.0
1998-01-19,378.1587,379.1707,376.702,376.9803,83239698.0
1998-01-20,376.8425,379.1597,375.2701,376.2283,87116142.0
1998-01-21,374.9564,375.0753,371.5955,372.0983,70939416.0
1998-01-22,372.2875,377.1794,371.8337,375.3118,51567846.0
1998-01-23,374.221,375.8721,373.056,373.056,45115952.0
1998-01-26,373.1118,374.4641,371.8091,373.5041,76954718.0
1998-01-27,372.0789,372.6061,369.8283,370.0957,138377411.0
1998-01-28,370.6967,373.0159,368.1614,372.5652,81878652.0
1998-01-29,374.0508,376.5147,373.9866,374.8247,90044952.0
1998-01-30,377.4794,379.8067,377.1529,378.9812,39713760.0
1998-02-02,379.3215,381.8056,378.359,381.1745,99487635.0
1998-02-03,381.3652,386.0689,381.2263,382.1923,46728450.0
1998-02-04,381.0317,381.0486,376.37,376.4396,27660518.0
1998-02-05,376.6697,382.3564,375.5231,378.5908,58035305.0
1998-02-06,370.8599,371.3384,365.1276,365.1276,42726144.0
1998-02-09,366.1171,371.4104,364.6205,371.4104,61195424.0
1998-02-10,371.5877,374.0555,369.4255,372.1923,79282855.0
1998-02-11,372.4164,374.8673,370.8398,372.8139,41745236.0
1998-02-12,373.2795,378.1814,371.7054,375.5945,90575913.0
1998-02-13,374.8228,377.8587,372.5057,373.183,55571674.0
1998-02-16,372.9668,375.5358,371.0285,372.3995,39372548.0
1998-02-17,372.5201,376.7529,370.4214,373.3216,44586274.0
1998-02-18,372.5854,372.5854,368.9164,370.2783,51633263.0
1998-02-19,369.9264,371.1589,368.1575,368.9474,32286577.0
1998-02-20,368.2349,368.828,365.965,367.6145,48529709.0
1998-02-23,367.6301,376.6811,367.4134,373.0619,45746782.0
1998-02-24,372.1749,372.6548,368.4127,370.3812,71015029.0
1998-02-25,368.8182,370.5278,366.798,367.7539,37368275.0
1998-02-26,368.139,369.7037,365.5892,369.4824,44383384.0
1998-02-27,369.6883,380.0062,368.3282,379.8806,72507932.0
1998-03-02,379.5029,381.9717,378.3232,378.916,97833183.0
1998-03-03,378.2812,380.5474,377.5388,377.6041,50562036.0
1998-03-04,377.3742,379.0561,376.45,377.2283,82440996.0
1998-03-05,377.2267,380.3659,376.6326,377.2242,42870060.0
1998-03-06,377.5293,380.7255,377.4124,378.5235,35947780.0
1998-03-09,377.673,379.5855,376.1532,376.9234,101498102.0
1998-03-10,378.0649,382.2365,377.916,380.6251,57545343.0
1998-03-11,380.6721,382.8575,379.0628,381.0283,80371911.0
1998-03-12,381.4187,382.9823,380.6196,382.5017,122040340.0
1998-03-13,381.7856,382.7062,380.7059,381.3685,51784951.0
1998-03-16,381.9525,384.8343,381.2787,383.7637,38323067.0
1998-03-17,384.5548,386.1233,382.8761,385.2513,80966311.0
1998-03-18,385.9207,387.2315,384.7883,386.7849,41774616.0
1998-03-19,386.9283,389.7056,385.9811,387.5837,44018593.0
1998-03-20,387.8929,392.753,387.5651,390.7192,39474606.0
1998-03-23,391.5687,392.8033,390.4414,392.7299,42731988.0
1998-03-24,392.9575,395.5228,392.745,394.1423,65473661.0
1998-03-25,392.1176,392.7211,390.0136,390.2051,139818581.0
1998-03-26,389.6546,390.2453,387.5328,387.8693,70365245.0
1998-03-27,388.4768,389.7333,387.334,389.052,81194793.0
1998-03-30,388.2842,388.4608,384.5792,385.0925,55382221.0
1998-03-31,385.0073,386.4578,383.4238,383.6693,33821682.0
1998-04-01,383.4963,383.5168,380.1716,381.7473,84378127.0
1998-04-02,379.3861,379.7495,370.2058,370.2058,35774466.0
1998-04-03,370.0316,371.6804,366.8011,369.4121,82689346.0
1998-04-06,369.2044,371.4076,367.2456,368.1359,64462829.0
1998-04-07,368.64,370.2486,366.1385,369.8482,64631273.0
1998-04-08,370.2902,372.9781,369.0425,371.7798,231754844.0
1998-04-09,372.5227,374.5864,372.378,373.7506,66037719.0
1998-04-10,375.8795,382.813,375.6018,382.6114,71466856.0
1998-04-13,384.9964,388.1822,384.5272,387.9836,139774993.0
1998-04-14,387.5182,388.3927,385.4643,387.1616,54487990.0
1998-04-15,386.8047,388.7203,385.3227,385.7766,100152115.0
1998-04-16,384.1667,384.964,381.252,381.4765,73123871.0
1998-04-17,381.6045,383.5615,379.6569,381.7758,63744796.0
1998-04-20,381.7441,381.7441,376.6282,381.5931,46858744.0
1998-04-21,381.7442,383.5924,379.703,382.7628,35408115.0
1998-04-22,384.3554,386.5386,383.788,386.214,53355086.0
1998-04-23,388.8585,395.0156,388.8482,394.7499,45729477.0
1998-04-24,394.7947,397.0011,393.2229,395.1078,57884974.0
1998-04-27,392.971,393.6254,390.6353,390.6353,71877209.0
1998-04-28,390.4175,391.3766,385.5581,387.4428,90562005.0
1998-04-29,387.5366,388.4889,383.8353,388.0233,70929551.0
1998-04-30,385.4279,385.572,381.5315,382.0063,61621886.0
1998-05-01,382.3072,385.0424,381.6109,384.3458,46593191.0
1998-05-04,384.2926,384.9776,381.4259,383.7409,54737232.0
1998-05-05,383.5628,386.2739,381.6926,381.6926,108215775.0
